report_date,segment,region,fact_progn,tranth_tst,dollar,dol_rab_ter,dol_sn_nal,rab_dney,atm,cards,compl
31.01.2013,S_3,RG_6,fact,11.81643625,30.03,0.92005814,0.458863142,17,115.5,NULL,0.999684156
31.01.2013,S_3,RG_60,fact,23.7962963,30.03,0.926559356,0.559146872,17,282,NULL,0.999685374
31.01.2013,S_3,RG_61,fact,73.31952921,30.03,0.780503979,0.459745721,17,318,NULL,0.999658001
31.01.2013,S_3,RG_62,fact,27.1891114,30.03,0.92844891,0.449019623,17,726,NULL,0.999685728
31.01.2013,S_3,RG_63,fact,78.32003104,30.03,0.947424323,0.410379676,17,535.5,NULL,0.999689285
31.01.2013,S_3,RG_64,fact,26.01382488,30.03,0.946836789,0.460072976,17,402,NULL,0.999689175
31.01.2013,S_3,RG_65,fact,117.5474766,30.03,0.932846277,0.474711043,17,1251,NULL,0.999686553
31.01.2013,S_3,RG_66,fact,103.2422437,30.03,0.736319742,0.475851872,17,337.5,NULL,0.99964972
31.01.2013,S_3,RG_67,fact,53.85635811,30.03,0.919774,0.371816821,17,675,NULL,0.999684103
31.01.2013,S_3,RG_68,fact,1.89516129,30.03,0.881578947,0.495488652,17,89.99999999,NULL,0.999676944
31.01.2013,S_3,RG_69,fact,35.44486612,30.03,0.9542438,0.440636127,17,388.5,NULL,0.999690563
31.01.2013,S_3,RG_7,fact,65.58303751,30.03,0.927773731,0.418785304,17,396,NULL,0.999685602
31.01.2013,S_3,RG_70,fact,103.4535104,30.03,0.753623188,0.454946721,17,261,NULL,0.999652963
31.01.2013,S_3,RG_71,fact,28.42644773,30.03,0.901340996,0.504831914,17,600,NULL,0.999680648
31.01.2013,S_3,RG_72,fact,54.37531209,30.03,0.915231788,0.498002996,17,806.9999999,NULL,0.999683251
31.01.2013,S_3,RG_73,fact,14.20071685,30.03,0.944370271,0.41522133,17,154.5,NULL,0.999688712
31.01.2013,S_3,RG_74,fact,0.161290323,30.03,0.84,0.528329162,17,48,NULL,0.999669151
31.01.2013,S_3,RG_75,fact,58.06740342,30.03,0.93852459,0.500209939,17,931.4999999,NULL,0.999687617
31.01.2013,S_3,RG_76,fact,67.65567045,30.03,0.885402139,0.477029888,17,1477.5,NULL,0.999677661
31.01.2013,S_3,RG_77,fact,168.7061711,30.03,0.77016129,0.365756593,17,387,NULL,0.999656062
31.01.2013,S_3,RG_78,fact,39.45271574,30.03,0.907340946,0.47348463,17,1008,NULL,0.999681772
31.01.2013,S_3,RG_79,fact,122.3359559,30.03,0.922257301,0.4637161,17,433.5,NULL,0.999684568
31.01.2013,S_3,RG_8,fact,73.5390663,30.03,0.930213004,0.487582779,17,339,NULL,0.999686059
31.01.2013,S_3,RG_80,fact,275.8791749,30.03,0.963409563,0.435443906,17,1510.5,NULL,0.999692281
31.01.2013,S_3,RG_81,fact,104.5397758,30.03,0.929484219,0.496463464,17,1453.5,NULL,0.999685923
